id,name,city,category,avg_cost,duration_min,price_level,open_time,close_time,closed_days,rating,review_count,popularity,address,tags,best_time,desc,lat,lon,image_url
1,Sun World Ba Na Hills,Da Nang,sightseeing,850000,360,$$$,08:00,22:00,,4.6,45000.0,0.95,"An Son, Hoa Ninh, Hoa Vang",golden bridge;cable car;theme park,All year,"Tổ hợp vui chơi trên núi với Cầu Vàng, làng Pháp, vườn hoa.",,,
2,Golden Bridge (Cầu Vàng),Da Nang,sightseeing,0,60,$$$,08:00,19:00,,4.7,40000.0,0.98,Trong Sun World Ba Na Hills,checkin;view;photo,All year,Cầu đi bộ màu vàng được đỡ bởi đôi bàn tay khổng lồ.,,,
3,Asia Park – Sun World Danang Wonders,Da Nang,sightseeing,150000,180,$$,15:00,22:00,,4.4,12000.0,0.8,"01 Phan Đăng Lưu, Hải Châu",sun wheel;rides;theme park,Evening,Công viên giải trí lớn với Sun Wheel.,,,
4,Sun Wheel (Vòng quay Mặt Trời),Da Nang,sightseeing,75000,45,$,16:30,22:00,,4.5,8000.0,0.7,"Trong Asia Park, 01 Phan Đăng Lưu",night view;cityscape,Evening,Ngắm toàn cảnh thành phố về đêm.,,,
5,Bảo tàng Điêu khắc Chăm,Da Nang,sightseeing,120000,90,$,08:00,17:00,Mon,4.6,9000.0,0.65,"Số 2, đường 2/9, Hải Châu",museum;cham;history,Morning,Trưng bày điêu khắc Chăm Pa lớn nhất.,,,
6,Ngũ Hành Sơn (Marble Mountains),Da Nang,sightseeing,40000,120,$,07:00,17:30,,4.6,20000.0,0.9,"81 Huyền Trân Công Chúa, Ngũ Hành Sơn",mountain;cave;pagoda,All year,"Cụm núi đá vôi, nhiều hang động & chùa.",,,
7,Chùa Linh Ứng – Sơn Trà,Da Nang,sightseeing,0,90,$,06:00,21:00,,4.7,25000.0,0.85,"Bãi Bụt, bán đảo Sơn Trà",pagoda;sea view;son tra,All year,Tượng Quan Âm 67m nhìn ra biển.,,,
8,Cầu Rồng,Da Nang,sightseeing,0,30,$,00:00,23:59,,4.6,60000.0,1.0,Đường Võ Văn Kiệt / Trần Hưng Đạo,bridge;light show;river,Weekend night,Thứ 7 & CN có phun lửa/nước buổi tối.,,,
9,Bãi biển Mỹ Khê,Da Nang,sightseeing,0,120,$,,,,,4.7,50000.0,0.95,"Võ Nguyên Giáp, Sơn Trà/Ngũ Hành Sơn",beach;swim;sunrise,Morning,"Biển đẹp, cát mịn.",,
10,Bãi biển Non Nước,Da Nang,sightseeing,0,120,$,,,,,4.5,9000.0,0.6,"Trường Sa, Ngũ Hành Sơn",beach;surf;relax,Morning,"Biển dài, yên tĩnh gần Ngũ Hành Sơn.",,
11,Bãi biển Bắc Mỹ An,Da Nang,sightseeing,0,120,$,,,,,4.5,7000.0,0.55,"Võ Nguyên Giáp, Ngũ Hành Sơn",beach;resort,Morning,Khu resort cao cấp dọc bờ biển.,,
12,Bán đảo Sơn Trà – Cây Đa Ngàn Năm,Da Nang,sightseeing,0,90,$,,,,,4.6,6000.0,0.6,"Sơn Trà, Đà Nẵng",nature;giant banyan;photo,Morning,"Cây đa cổ thụ lớn, cung đường ven biển đẹp.",,
13,Hải đăng Tiên Sa,Da Nang,sightseeing,0,90,$,,,,,4.5,4000.0,0.4,Sơn Trà,lighthouse;view;drive,Morning,Một trong những hải đăng đẹp của miền Trung.,,
14,Đèo Hải Vân – Hải Vân Quan,Da Nang,sightseeing,0,180,$,,,,,4.7,15000.0,0.85,Đỉnh đèo Hải Vân (ranh giới Huế–Đà Nẵng),pass;view;history,Morning,"Cổng Trời, check-in đèo đẹp nhất VN.",,
15,Bảo tàng Đà Nẵng,Da Nang,sightseeing,40000,90,$,08:00,17:00,Mon,4.3,3000.0,0.35,"24 Trần Phú, Hải Châu",museum;history,Morning,Giới thiệu lịch sử – văn hóa Đà Nẵng.,,,
16,Cầu Sông Hàn (cầu quay),Da Nang,sightseeing,0,30,$,,,,,4.5,12000.0,0.6,Trần Hưng Đạo – Lê Duẩn bắc qua sông Hàn,bridge;rotate;night,Late night,Cầu quay vào đêm cuối tuần (thường khuya).,,
17,Cầu Thuận Phước,Da Nang,sightseeing,0,30,$,,,,,4.4,7000.0,0.5,Thọ Quang – Hải Châu,bridge;photo;night,Evening,"Cầu dây võng dài, chụp đêm đẹp.",,
18,Helio Night Market,Da Nang,sightseeing,0,120,$,17:00,22:30,Tue,4.4,15000.0,0.75,"2/9, Hải Châu",night market;street food;music,Evening,"Chợ đêm, đồ ăn & âm nhạc.",,,
19,Chợ Đêm Sơn Trà,Da Nang,sightseeing,0,120,$,18:00,23:00,,4.3,9000.0,0.6,Lý Nam Đế – Mai Hắc Đế,night market;shopping,Evening,"Quà lưu niệm, ẩm thực gần Cầu Rồng.",,,
20,Chợ Hàn,Da Nang,sightseeing,0,90,$,06:00,19:00,,4.2,15000.0,0.7,"119 Trần Phú, Hải Châu",market;local food;shopping,Morning,Chợ trung tâm nổi tiếng.,,,
21,Bảo tàng Hoàng Sa,Da Nang,sightseeing,0,90,$,07:30,17:00,Mon,4.4,2000.0,0.3,"Hoàng Sa, Sơn Trà",museum;maritime;history,Morning,Trưng bày tư liệu về Hoàng Sa.,,,
22,Công viên APEC,Da Nang,sightseeing,0,45,$,,,,,4.4,5000.0,0.4,"Đường 2/9, bờ Tây sông Hàn",park;public art;photo,Evening,"Mái vòm uốn lượn, dạo bộ ven sông.",,
23,Công viên Biển Đông,Da Nang,sightseeing,0,60,$,,,,,4.5,6000.0,0.5,"Phạm Văn Đồng, Sơn Trà",beach park;pigeon;event,Morning,Nơi tổ chức nhiều sự kiện biển.,,
24,Suối Hoa – Hòa Ninh,Da Nang,sightseeing,50000,180,$,07:00,17:30,,4.2,2500.0,0.25,"Hòa Ninh, Hòa Vang",stream;picnic;camping,All year,Khu dã ngoại gần thiên nhiên.,,,
25,Rừng dừa Bảy Mẫu – Cẩm Thanh (Hội An gần ĐN),Da Nang,sightseeing,200000,120,$$,07:30,17:00,,4.5,15000.0,0.7,"Cẩm Thanh, cách ĐN ~30km",basket boat;eco;river,Morning,"Thúng chai, trải nghiệm sông nước.",,,
26,Bảo tàng Mỹ thuật Đà Nẵng,Da Nang,sightseeing,35000,60,$,08:00,17:00,Mon,4.3,1200.0,0.2,"78 Lê Duẩn, Hải Châu",museum;art,Afternoon,Triển lãm mỹ thuật địa phương.,,,
27,Nhà thờ Con Gà (Chính tòa),Da Nang,sightseeing,0,30,$,07:00,19:00,,4.4,11000.0,0.55,"156 Trần Phú, Hải Châu",church;pink cathedral;photo,Morning,Nhà thờ màu hồng nổi tiếng.,,,
28,Cung thiếu nhi Đà Nẵng (Nhà thờ Con Gà mới),Da Nang,sightseeing,0,45,$,,,,,4.3,5000.0,0.35,"2/9, Hải Châu",architecture;photo,Evening,"Kiến trúc hiện đại, chụp ảnh.",,
29,Hồ Hòa Trung,Da Nang,sightseeing,0,180,$,,,,,4.5,3000.0,0.3,"Hòa Liên, Hòa Vang",lake;camping;SUP,Afternoon,"Hồ đẹp mùa nước, cắm trại.",,
30,Thác Hòa Phú Thành,Da Nang,sightseeing,200000,180,$$,08:00,17:00,,4.5,6000.0,0.45,"Q.lộ 14G, Hòa Phú, Hòa Vang",rafting;zipline;slides,Morning,"Trượt thác, zipline mạo hiểm.",,,
31,Núi Thần Tài – Suối khoáng nóng,Da Nang,sightseeing,450000,240,$$,08:00,18:00,,4.5,7000.0,0.5,"QL14G, Hòa Phú, Hòa Vang",hot spring;water park;spa,All year,Công viên khoáng nóng.,,,
32,Cầu Tình Yêu & Cá chép hóa rồng,Da Nang,sightseeing,0,30,$,,,,,4.4,14000.0,0.7,Đường Trần Hưng Đạo (bờ Đông),bridge;lock;photo,Evening,"Biểu tượng tình yêu, gần MMs.",,
33,Du thuyền sông Hàn,Da Nang,sightseeing,150000,60,$$,18:30,21:30,,4.4,8000.0,0.6,Bến du thuyền Trần Hưng Đạo,river cruise;night;music,Evening,Ngắm các cây cầu về đêm.,,,
34,Bảo tàng 3D TrickEye/Art in Paradise,Da Nang,sightseeing,150000,90,$$,09:00,20:00,,4.4,6000.0,0.5,"63 Trần Phú, Hải Châu",3d;interactive;photo,Afternoon,Bảo tàng 3D sống động.,,,
35,Làng Vân (hoang sơ dưới chân đèo),Da Nang,sightseeing,0,240,$,,,,,4.6,5000.0,0.5,Chân đèo Hải Vân,beach;camping;hiking,Morning,"Bãi biển hoang sơ, đi bộ/đường sắt.",,
36,Hầm Hải Vân (tham quan cũ),Da Nang,sightseeing,0,60,$,,,,,4.2,1000.0,0.2,Đèo Hải Vân,history;tunnel;photo,Morning,Check-in khu hầm cũ (cẩn trọng).,,
37,Bảo tàng Đồng Đình (Sơn Trà),Da Nang,sightseeing,100000,90,$,08:00,17:00,,4.5,1500.0,0.25,"Hoàng Sa, Sơn Trà",museum;garden;ethnic,Morning,Bảo tàng tư nhân giữa rừng Sơn Trà.,,,
38,Chùa Quan Âm (Ngũ Hành Sơn),Da Nang,sightseeing,0,60,$,,,,,4.4,2000.0,0.2,Ngũ Hành Sơn,pagoda;cave;spiritual,Morning,Chùa trong quần thể Ngũ Hành Sơn.,,
39,Làng đá Non Nước,Da Nang,sightseeing,0,60,$,07:00,18:00,,4.4,3000.0,0.3,"Huyền Trân Công Chúa, Ngũ Hành Sơn",stone village;craft;shopping,Morning,Làng nghề đá mỹ nghệ truyền thống.,,,
40,Bảo tàng Võ thuật cổ truyền,Da Nang,sightseeing,30000,60,$,08:00,17:00,Mon,4.2,800.0,0.1,Hải Châu,martial art;museum,Afternoon,Không gian trưng bày võ cổ truyền.,,,
41,Vincom Plaza + băng tuyết (Vincom Ice Rink),Da Nang,sightseeing,200000,90,$$,09:30,22:00,,4.3,7000.0,0.4,"910A Ngô Quyền, Sơn Trà",shopping;ice rink;family,Afternoon,Trượt băng trong nhà.,,,
42,Lotte Mart Đà Nẵng,Da Nang,sightseeing,0,90,$,09:00,22:00,,4.2,9000.0,0.4,"6 Nại Nam, Hải Châu",shopping;cinema;food court,Afternoon,Tổ hợp mua sắm – giải trí.,,,
43,Công viên Kỳ quan (Wonder Park mini),Da Nang,sightseeing,50000,60,$,08:00,21:00,,4.0,1500.0,0.15,Ngũ Hành Sơn,mini world;photo;family,Afternoon,Mô phỏng kỳ quan thu nhỏ.,,,
44,Hồ Đồng Xanh – Đồng Nghệ,Da Nang,sightseeing,30000,180,$,07:00,17:30,,4.2,2500.0,0.25,"Hòa Khương, Hòa Vang",lake;picnic;camping,Morning,Điểm dã ngoại ven hồ.,,,
45,Khu du lịch Bà Nà Suối Mơ (đường cũ),Da Nang,sightseeing,0,60,$,,,,,4.0,500.0,0.05,Hòa Ninh,historical route;view,Morning,"Đường cũ lên Bà Nà, check-in cảnh.",,
46,Nhà thờ Tin Lành Tam Kỳ – cơ sở ĐN,Da Nang,sightseeing,0,30,$,,,,,4.0,200.0,0.05,Hải Châu,church;architecture,Morning,Nhà thờ địa phương.,,
47,Bảo tàng Sưu tập Tem – tư nhân,Da Nang,sightseeing,50000,45,$,08:00,17:00,,4.0,100.0,0.02,Hải Châu,stamp;museum;hobby,Afternoon,Sưu tập tem cá nhân (khung giờ hẹn).,,,
48,Bến cá Thọ Quang,Da Nang,sightseeing,0,60,$,04:00,08:00,,4.3,2000.0,0.2,"Thọ Quang, Sơn Trà",fish market;sunrise;photo,Sunrise,"Chợ cá rạng sáng, ảnh đời sống biển.",,,
49,Chợ Cồn,Da Nang,sightseeing,0,90,$,07:00,18:00,,4.3,13000.0,0.6,"290 Hùng Vương, Hải Châu",market;food;dessert,Afternoon,"Thiên đường ăn vặt, đặc sản.",,,
50,Làng chiếu Cẩm Nê,Da Nang,sightseeing,0,90,$,,,,,4.2,800.0,0.1,"Hòa Tiến, Hòa Vang",craft village;mat weaving,Morning,Làng nghề truyền thống.,,
51,Khu du lịch Suối Lương,Da Nang,sightseeing,50000,180,$,07:00,17:30,,4.2,2000.0,0.25,"Hòa Hiệp Bắc, Liên Chiểu",stream;ecotourism;camping,Morning,"Điểm dã ngoại, cắm trại dưới chân đèo Hải Vân.",,,
52,Hồ Phú Ninh,Da Nang,sightseeing,30000,240,$,07:00,17:30,,4.3,1800.0,0.22,"Tam Kỳ, cách ĐN ~70km",lake;ecotourism;camping,Morning,"Hồ nước nhân tạo lớn, nhiều đảo nhỏ, cắm trại.",,,
53,Chợ đêm Lê Duẩn,Da Nang,sightseeing,0,90,$,18:00,23:00,Mon,4.1,1200.0,0.2,"Lê Duẩn, Hải Châu",night market;shopping;local,Evening,"Chợ đêm trung tâm, hàng lưu niệm, quần áo.",,,
54,Trạm radar 29 – Sơn Trà,Da Nang,sightseeing,0,60,$,,,,,4.5,500.0,0.15,Đỉnh Sơn Trà,radar;view;military,Morning,"Điểm cao nhất bán đảo Sơn Trà, view toàn Đà Nẵng.",,
55,Chùa Tam Thai – Ngũ Hành Sơn,Da Nang,sightseeing,0,60,$,07:00,17:00,,4.5,800.0,0.18,Ngũ Hành Sơn,pagoda;history;spiritual,Morning,Ngôi chùa cổ trong quần thể Ngũ Hành Sơn.,,,
56,Suối Khe Răm – Sơn Trà,Da Nang,sightseeing,0,120,$,,,,,4.2,600.0,0.1,Sơn Trà,stream;trekking;picnic,Morning,Điểm trekking nhỏ trong rừng Sơn Trà.,,
57,Nhà thờ Chính tòa Thánh Giuse,Da Nang,sightseeing,0,45,$,07:00,19:00,,4.1,500.0,0.08,"Hòa Khánh, Liên Chiểu",church;architecture,Morning,"Nhà thờ địa phương, kiến trúc đơn giản.",,,
58,Khu du lịch sinh thái Phú Túc,Da Nang,sightseeing,60000,150,$,07:00,17:30,,4.0,800.0,0.1,"Hòa Phú, Hòa Vang",ecotourism;stream;camping,Morning,Khu sinh thái mới nổi ở Hòa Vang.,,,
59,Chợ Siêu Thị,Da Nang,sightseeing,0,90,$,07:00,19:00,,4.2,3000.0,0.3,"46 Ông Ích Khiêm, Hải Châu",market;shopping;local,Morning,Chợ lâu đời ở trung tâm Đà Nẵng.,,,
60,Trung tâm hành chính Đà Nẵng,Da Nang,sightseeing,0,30,$,,,,,4.0,4000.0,0.25,"24 Trần Phú, Hải Châu",architecture;photo;symbol,Morning,Toà nhà cao tầng hình búp sen – biểu tượng thành phố.,,
61,Bảo tàng Đèn lồng Đà Nẵng,Da Nang,sightseeing,80000,60,$,08:00,17:30,,4.3,500.0,0.08,Ngũ Hành Sơn,lantern;museum;photo,Afternoon,Trưng bày đèn lồng nghệ thuật.,,,
62,Chợ Hải Sản Mân Thái,Da Nang,sightseeing,0,60,$,05:00,09:00,,4.2,1000.0,0.15,"Mân Thái, Sơn Trà",seafood;market;local,Morning,Chợ cá buổi sáng gần biển.,,,
63,Khu ẩm thực đêm An Thượng,Da Nang,sightseeing,0,120,$,18:00,23:00,,4.4,2500.0,0.35,"Khu phố Tây An Thượng, Ngũ Hành Sơn",nightlife;food;drinks,Evening,"Khu ẩm thực, quán bar, café tập trung nhiều khách Tây.",,,
64,Thác Suối Mơ – Hòa Ninh,Da Nang,sightseeing,40000,150,$,07:00,17:00,,4.1,700.0,0.1,"Hòa Ninh, Hòa Vang",waterfall;trekking;picnic,Morning,"Thác nước nhỏ trong rừng, thích hợp picnic.",,,
65,Đình làng Hải Châu,Da Nang,sightseeing,0,30,$,07:30,17:00,Mon,4.0,300.0,0.05,"Hải Châu 1, Hải Châu",communal house;history;culture,Morning,Di tích lịch sử của làng Hải Châu.,,,
66,Làng gốm Thanh Hà (gần ĐN),Da Nang,sightseeing,50000,90,$,08:00,17:30,,4.5,3000.0,0.4,"Cẩm Hà, Hội An – gần ĐN",pottery;craft;village,Morning,Làng nghề gốm truyền thống.,,,
67,Làng lụa Duy Trinh (gần ĐN),Da Nang,sightseeing,80000,90,$,08:00,17:30,,4.4,1200.0,0.2,"Duy Trinh, Duy Xuyên, Quảng Nam – gần ĐN",silk;craft;village,Morning,Nghề dệt lụa truyền thống.,,,
68,Nhà bia Võ Chí Công,Da Nang,sightseeing,0,30,$,07:00,17:00,,4.2,200.0,0.03,Hòa Vang,memorial;history;leader,Morning,Nhà bia tưởng niệm ông Võ Chí Công.,,,
69,Bảo tàng Võ Văn Kiệt (tư nhân),Da Nang,sightseeing,40000,45,$,08:00,17:00,,4.0,100.0,0.02,Thanh Khê,museum;private;politics,Afternoon,Bảo tàng tư nhân nhỏ.,,,
70,Nhà thờ giáo xứ Hòa Khánh,Da Nang,sightseeing,0,30,$,07:00,19:00,,4.1,300.0,0.05,Liên Chiểu,church;local,Morning,Nhà thờ địa phương tại Hòa Khánh.,,,
71,Hồ Xanh – Sơn Trà,Da Nang,sightseeing,0,90,$,,,,,4.5,3000.0,0.3,Sơn Trà,lake;photo;camping,Morning,"Hồ nhỏ trong núi Sơn Trà, màu nước xanh ngọc.",,
72,Suối Đá – Suối Tiên,Da Nang,sightseeing,50000,120,$,07:00,17:00,,4.4,1500.0,0.25,"Hòa Phú, Hòa Vang",stream;picnic;camping,Morning,Điểm dã ngoại nổi tiếng mùa hè.,,,
73,Khu du lịch Ngầm Đôi,Da Nang,sightseeing,70000,150,$,07:00,17:00,,4.4,2000.0,0.3,"Xã Hòa Phú, Hòa Vang",ecotourism;stream;camping,Morning,Khu du lịch sinh thái trong rừng.,,,
74,Chợ Hòa Khánh,Da Nang,sightseeing,0,90,$,06:00,18:00,,4.2,2500.0,0.25,"Hòa Khánh, Liên Chiểu",market;shopping;local,Morning,Chợ trung tâm của khu Hòa Khánh.,,,
75,Đình làng Túy Loan,Da Nang,sightseeing,0,45,$,07:00,17:00,,4.2,500.0,0.08,"Hòa Phong, Hòa Vang",communal house;history,Morning,Đình làng cổ hơn 500 năm tuổi.,,,
76,Suối Phú Túc,Da Nang,sightseeing,40000,120,$,07:00,17:00,,4.1,900.0,0.12,"Hòa Phú, Hòa Vang",stream;camping,Morning,"Suối mát lạnh, nhiều đá tảng lớn.",,,
77,Chợ Hòa Vang,Da Nang,sightseeing,0,90,$,06:00,18:00,,4.1,1000.0,0.1,Hòa Vang,market;local,Morning,Chợ truyền thống của huyện Hòa Vang.,,,
78,Nhà cổ Túy Loan,Da Nang,sightseeing,0,45,$,,,,,4.0,300.0,0.05,"Túy Loan, Hòa Vang",ancient house;history,Morning,Nhà cổ hàng trăm năm tuổi.,,
79,Khu du lịch sinh thái Thủy Tú,Da Nang,sightseeing,50000,120,$,07:00,17:00,,4.0,700.0,0.1,"Hòa Phong, Hòa Vang",ecotourism;lake,Morning,Khu sinh thái ven hồ nhỏ.,,,
80,Làng bích họa Tam Thanh (Quảng Nam gần ĐN),Da Nang,sightseeing,60000,90,$,08:00,17:30,,4.5,2000.0,0.3,"Tam Thanh, Tam Kỳ",mural village;art,Morning,"Làng bích họa nổi tiếng, cách ĐN ~70km.",,,
81,Thác An Dương,Da Nang,sightseeing,30000,120,$,07:00,17:00,,4.2,600.0,0.1,"Hòa Bắc, Hòa Vang",waterfall;trekking,Morning,"Thác nước nhỏ, hoang sơ.",,,
82,Làng nghề nước mắm Nam Ô,Da Nang,sightseeing,0,60,$,,,,,4.5,1500.0,0.25,"Nam Ô, Liên Chiểu",fish sauce;craft village,Morning,Nước mắm Nam Ô truyền thống.,,
83,Ghềnh Nam Ô,Da Nang,sightseeing,0,90,$,,,,,4.6,2500.0,0.3,"Nam Ô, Liên Chiểu",reef;photo;beach,Morning,Ghềnh đá rêu xanh nổi tiếng.,,
84,Rạn Nam Ô,Da Nang,sightseeing,0,120,$,,,,,4.5,2200.0,0.28,"Nam Ô, Liên Chiểu",snorkeling;reef;beach,Morning,Bãi đá ngầm thích hợp lặn ngắm san hô.,,
85,Chợ Nam Ô,Da Nang,sightseeing,0,60,$,06:00,11:00,,4.1,600.0,0.1,"Nam Ô, Liên Chiểu",market;local,Morning,Chợ nhỏ vùng ven biển Nam Ô.,,,
86,Nhà thờ giáo xứ Nam Ô,Da Nang,sightseeing,0,45,$,,,,,4.0,200.0,0.05,"Nam Ô, Liên Chiểu",church;local,Morning,Nhà thờ địa phương.,,
87,Chợ Thanh Khê,Da Nang,sightseeing,0,90,$,06:00,18:00,,4.2,1800.0,0.2,Thanh Khê,market;shopping;local,Morning,Chợ trung tâm quận Thanh Khê.,,,
