id,name,city,category,avg_cost,duration_min,price_level,open_time,close_time,closed_days,rating,review_count,popularity,address,tags,best_time,desc,lat,lon,image_url
88,Bảo tàng Ký ức Đà Nẵng,Da Nang,sightseeing,50000,60,$,08:00,17:00,,4.0,400.0,0.05,Hải Châu,museum;private,Afternoon,Không gian trưng bày tư nhân.,,,
89,Nhà lưu niệm Phan Châu Trinh,Da Nang,sightseeing,0,60,$,07:00,17:00,,4.3,500.0,0.08,Hòa Vang,memorial;history,Morning,Nhà lưu niệm chí sĩ Phan Châu Trinh.,,,
90,Thác Ghềnh Bàu,Da Nang,sightseeing,20000,120,$,07:00,17:00,,4.0,400.0,0.05,"Hòa Bắc, Hòa Vang",waterfall;trekking,Morning,"Thác nước tự nhiên, ít người biết.",,,
91,Đình làng Nam Ô,Da Nang,sightseeing,0,45,$,,,,,4.1,200.0,0.05,"Nam Ô, Liên Chiểu",communal house;history,Morning,Đình làng truyền thống.,,
92,Làng nghề chiếu Cẩm Nê,Da Nang,sightseeing,0,60,$,,,,,4.2,800.0,0.1,"Cẩm Nê, Hòa Tiến",mat weaving;craft,Morning,Nghề dệt chiếu truyền thống.,,
93,Nhà thờ Tin Lành Đà Nẵng,Da Nang,sightseeing,0,45,$,07:00,19:00,,4.2,400.0,0.05,"156 Trần Phú, Hải Châu",church;architecture,Morning,Nhà thờ Tin Lành trung tâm.,,,
94,Tháp Xá Lợi – Ngũ Hành Sơn,Da Nang,sightseeing,0,45,$,,,,,4.3,800.0,0.1,Ngũ Hành Sơn,tower;pagoda;spiritual,Morning,Tháp Xá Lợi trong quần thể Ngũ Hành Sơn.,,
95,Suối Mơ Đông Giang (gần ĐN),Da Nang,sightseeing,50000,180,$,07:00,17:00,,4.4,1000.0,0.15,"Đông Giang, Quảng Nam – gần ĐN",stream;ecotourism,Morning,"Suối Mơ trong rừng, thích hợp dã ngoại.",,,
96,Chợ Hòa Phát,Da Nang,sightseeing,0,90,$,06:00,18:00,,4.1,900.0,0.1,"Hòa Phát, Cẩm Lệ",market;local,Morning,Chợ trung tâm Hòa Phát.,,,
97,Nhà thờ giáo xứ Phước Tường,Da Nang,sightseeing,0,45,$,,,,,4.0,300.0,0.05,"Phước Tường, Cẩm Lệ",church;local,Morning,Nhà thờ địa phương.,,
98,Đình làng Phước Tường,Da Nang,sightseeing,0,45,$,,,,,4.0,200.0,0.05,Cẩm Lệ,communal house;history,Morning,Di tích làng cổ.,,
99,Làng nghề bánh khô mè Cẩm Lệ,Da Nang,sightseeing,0,60,$,,,,,4.2,500.0,0.08,Cẩm Lệ,craft;cake;specialty,Morning,Đặc sản khô mè nổi tiếng.,,
100,Nhà thờ giáo xứ Hòa Tiến,Da Nang,sightseeing,0,45,$,,,,,4.0,250.0,0.05,"Hòa Tiến, Hòa Vang",church;local,Morning,Nhà thờ địa phương nhỏ.,,
101,Mì Quảng Bà Mua,Da Nang,food,60000,45,$,06:00,21:00,,4.5,12000.0,0.8,"19-21 Trần Bình Trọng, Hải Châu",mi quang;noodle;local,Morning,Thương hiệu mì Quảng nổi tiếng.,,,
102,Bánh Xèo Bà Dưỡng,Da Nang,food,70000,60,$,10:00,21:00,,4.6,15000.0,0.9,"K280/23 Hoàng Diệu, Hải Châu",banh xeo;nem lui;local,Evening,"Bánh xèo giòn, nem lụi nướng.",,,
103,Hải sản Năm Đảnh,Da Nang,food,150000,90,$$,10:30,21:30,,4.4,11000.0,0.85,"K139/H59/38 Trần Quang Khải, Sơn Trà",seafood;local;budget,Evening,Hải sản bình dân nổi tiếng.,,,
104,Bé Mặn – Hải sản,Da Nang,food,250000,90,$$,10:00,22:00,,4.3,9000.0,0.7,"Lô 14 Võ Nguyên Giáp, Sơn Trà",seafood;beach;family,Evening,Quán hải sản ven biển.,,,
105,Mì Quảng 1A Hải Phòng,Da Nang,food,45000,45,$,06:00,21:00,,4.4,7000.0,0.6,"1A Hải Phòng, Hải Châu",mi quang;local,Morning,Mì Quảng truyền thống.,,,
106,Bún chả cá Bà Lữ,Da Nang,food,40000,45,$,06:00,21:00,,4.5,6000.0,0.55,"319 Hùng Vương, Hải Châu",fish cake noodle;local,Morning,Bún chả cá đậm đà.,,,
107,Bún mắm bà Vân,Da Nang,food,40000,45,$,07:00,20:00,,4.4,5000.0,0.5,"23/14 Trần Kế Xương, Hải Châu",bun mam;local,Afternoon,Món bún mắm đặc trưng ĐN.,,,
108,Ốc hút – chợ Cồn,Da Nang,food,30000,45,$,14:00,18:00,,4.3,4000.0,0.45,"Chợ Cồn, Hùng Vương",snack;street food;oc hut,Afternoon,Món ăn vặt nổi tiếng.,,,
109,Kem bơ Cô Vân,Da Nang,food,25000,30,$,14:00,21:00,,4.5,5000.0,0.55,"Chợ Bắc Mỹ An, Ngũ Hành Sơn",dessert;avocado ice cream,Afternoon,"Kem bơ mát lạnh, giá rẻ.",,,
110,Bánh tráng thịt heo Trần,Da Nang,food,120000,60,$$,10:00,21:00,,4.3,12000.0,0.7,"4 Lê Duẩn, Hải Châu (nhiều cơ sở)",pork wrap;rice paper;greens,Evening,Đặc sản cuốn rau sống.,,,
111,Bún thịt nướng – Bà Ngọc,Da Nang,food,40000,45,$,07:00,20:00,,4.3,3000.0,0.35,"Huỳnh Thúc Kháng, Hải Châu",grilled pork noodle;local,Afternoon,Bún thịt nướng giòn rụm.,,,
112,Cơm gà A.Hải,Da Nang,food,45000,45,$,10:00,21:00,,4.2,3000.0,0.3,"96 Phan Châu Trinh, Hải Châu",chicken rice;local,Afternoon,Cơm gà kiểu Đà Nẵng.,,,
113,Bánh canh chả cá Bà Đá,Da Nang,food,35000,45,$,06:30,21:00,,4.3,2000.0,0.25,"109 Nguyễn Chí Thanh, Hải Châu",fish cake noodle;soup,Morning,Bánh canh chả cá nóng hổi.,,,
114,"Bánh bèo, nậm, lọc Bà Bé",Da Nang,food,35000,45,$,14:00,18:30,,4.4,4000.0,0.4,"100 Hoàng Văn Thụ, Hải Châu",hue cake;local;snack,Afternoon,Món bánh Huế kiểu ĐN.,,,
115,Nhà hàng Madam Lân,Da Nang,food,200000,90,$$,10:00,22:00,,4.4,7000.0,0.6,"4 Bạch Đằng, Hải Châu",restaurant;river;set menu,Evening,"Không gian cổ, món Việt.",,,
116,Bếp Trang – Mì Quảng,Da Nang,food,55000,45,$,06:30,21:00,,4.4,9000.0,0.65,"24 Lê Hồng Phong, Hải Châu",mi quang;local chain,Morning,Thương hiệu mì Quảng hiện đại.,,,
117,Apsara Restaurant,Da Nang,food,250000,90,$$,10:00,22:00,,4.3,3000.0,0.35,"222 Trần Phú, Hải Châu",champa;dance;vietnamese,Evening,"Ẩm thực Việt, múa Chăm dịp đặc biệt.",,,
118,Làng Bích Họa Tam Thanh (ẩm thực ven),Da Nang,food,60000,90,$,09:00,18:00,,4.2,2000.0,0.2,Tam Kỳ/Hội An gần ĐN,street food;seafood,Afternoon,Kết hợp tour Hội An – ăn hải sản.,,,
119,Quán Mậu – bánh tráng cuốn thịt heo,Da Nang,food,90000,60,$,09:30,21:00,,4.3,6000.0,0.55,"35 Đỗ Thúc Tịnh, Cẩm Lệ",pork wrap;greens;local,Evening,Quán đông khách địa phương.,,,
120,Lẩu Hàu 1 Căn – Mỹ An,Da Nang,food,150000,90,$$,10:00,22:00,,4.3,2000.0,0.25,"31 An Thượng 6, Ngũ Hành Sơn",oyster hotpot;seafood,Evening,Khu phố Tây An Thượng.,,,
121,Thìa Gỗ – Danang Souvenirs & Café,Da Nang,food,45000,60,$,08:00,22:00,,4.5,6000.0,0.5,"34 Bạch Đằng, Hải Châu",coffee;gift;river,Morning,Café + quà lưu niệm view sông.,,,
122,43 Factory Coffee Roaster,Da Nang,food,70000,60,$,08:00,22:00,,4.6,7000.0,0.65,"Lô 422 Ngô Thi Sĩ, Ngũ Hành Sơn",specialty coffee;roastery,Morning,Cà phê specialty nổi tiếng.,,,
123,The Coffee House – Bạch Đằng,Da Nang,food,55000,60,$,07:00,22:30,,4.3,5000.0,0.35,"80 Bạch Đằng, Hải Châu",coffee;workspace;river,Afternoon,"View sông Hàn, tiện làm việc.",,,
124,Làng nướng Năm Hiền,Da Nang,food,150000,90,$$,10:00,22:00,,4.2,4000.0,0.3,"46 Phạm Văn Đồng, Sơn Trà",bbq;family;seafood,Evening,Nướng bình dân đông khách.,,,
125,Bún bò Huế O Lễ – ĐN,Da Nang,food,45000,45,$,06:00,21:00,,4.2,3500.0,0.3,"436 Trần Cao Vân, Thanh Khê",bun bo hue;local,Morning,Bún bò đậm vị.,,,
126,Bánh mì Đồng Tiến,Da Nang,food,20000,15,$,06:00,22:00,,4.3,8000.0,0.45,Nhiều cơ sở tại ĐN,banh mi;bakery;local chain,Morning,Bánh mì/ bánh ngọt nổi tiếng.,,,
127,Hải sản Bà Thôi 1,Da Nang,food,200000,90,$$,10:00,22:00,,4.3,8000,0.6,"96 Lê Đình Dương, Hải Châu",seafood;family;local,Evening,"Quán hải sản lâu đời, nổi tiếng với du khách.",,,
128,Hải sản Bé Anh,Da Nang,food,250000,90,$$,10:00,22:30,,4.4,6000,0.55,"Lô 11 Võ Nguyên Giáp, Sơn Trà",seafood;beach;family,Evening,"Hải sản tươi, view biển Mỹ Khê.",,,
129,Hải sản Năm Ngón,Da Nang,food,220000,90,$$,10:00,22:00,,4.2,4000,0.35,"Lô 6 Võ Nguyên Giáp, Sơn Trà",seafood;grill,Evening,"Nhiều món hải sản nướng, hấp.",,,
130,Nhà hàng Cá Chuồn Cồ,Da Nang,food,180000,90,$$,10:00,22:00,,4.4,3500,0.3,"Lô 1 Võ Văn Kiệt, Sơn Trà",seafood;restaurant;family,Evening,"Không gian rộng, món cá biển miền Trung.",,,
131,Nhà hàng Nén,Da Nang,food,500000,120,$$$,11:00,22:00,,4.6,2000,0.4,"16 Lê Thánh Tôn, Hải Châu",fine dining;modern vietnamese,Evening,"Ẩm thực sáng tạo, cao cấp.",,,
132,La Maison 1888 – InterContinental,Da Nang,food,1200000,150,$$$,18:00,22:00,Mon,4.8,1500,0.3,Bán đảo Sơn Trà,fine dining;french;luxury,Evening,Nhà hàng Pháp trong khu InterContinental.,,,
133,Panorama – A La Carte,Da Nang,food,400000,120,$$,11:00,22:00,,4.5,2500,0.35,"200 Võ Nguyên Giáp, Sơn Trà",buffet;skybar;sea view,Evening,Buffet + sky bar trên tầng thượng khách sạn.,,,
134,Nhà hàng Làng Nghệ,Da Nang,food,150000,90,$$,10:00,21:00,,4.4,2000,0.25,"119 Lê Lợi, Hải Châu",central vietnamese;family,Afternoon,Đặc sản Nghệ An – miền Trung.,,,
135,Nhà hàng Cơm Niêu Đà Nẵng,Da Nang,food,120000,90,$,10:00,21:00,,4.3,3000,0.3,"50 Phan Bội Châu, Hải Châu",vietnamese;rice pot,Afternoon,"Cơm niêu, canh chua, món Việt gia đình.",,,
136,Nhà hàng Madame Hạnh,Da Nang,food,220000,90,$$,10:00,22:00,,4.3,1800,0.2,"94 Hồ Xuân Hương, Ngũ Hành Sơn",seafood;family;banquet,Evening,"Không gian sang trọng, món hải sản.",,,
137,Nhà hàng Làng Việt,Da Nang,food,180000,90,$$,10:00,21:30,,4.2,1600,0.2,"Hòa Cường, Hải Châu",vietnamese;family,Evening,"Món ăn Việt, set menu truyền thống.",,,
138,Nhà hàng Phì Lũ 1,Da Nang,food,160000,90,$$,10:00,22:00,,4.1,2200,0.25,"225 Nguyễn Chí Thanh, Hải Châu",vietnamese;bbq;family,Evening,Quán ăn gia đình nổi tiếng lâu năm.,,,
139,Nhà hàng Cổ Đô,Da Nang,food,140000,90,$,10:00,22:00,,4.2,2000,0.25,"97 Nguyễn Tri Phương, Thanh Khê",vietnamese;family,Afternoon,"Quán cơm gia đình, thực đơn phong phú.",,,
140,Nhà hàng Nhật Daichi,Da Nang,food,300000,90,$$,10:00,22:00,,4.5,2500,0.3,"Đường 2/9, Hải Châu",japanese;sushi;ramen,Evening,"Ẩm thực Nhật, sushi sashimi.",,,
201,InterContinental Danang Sun Peninsula Resort,Da Nang,hotel,12000000,1440,$$$,00:00,23:59,,4.8,12000.0,0.9,"Bãi Bắc, Sơn Trà",luxury;peninsula;beach,All year,"Resort 6*, kiến trúc Bill Bensley.",,,
202,Furama Resort Danang,Da Nang,hotel,4500000,1440,$$$,00:00,23:59,,4.6,9000.0,0.75,"105 Võ Nguyên Giáp, Ngũ Hành Sơn",resort;beach;family,All year,Resort lâu đời ven biển.,,,
203,Hyatt Regency Danang Resort and Spa,Da Nang,hotel,5000000,1440,$$$,00:00,23:59,,4.6,8000.0,0.7,"05 Trường Sa, Ngũ Hành Sơn",luxury;family;beach,All year,"Resort cao cấp, bãi biển riêng.",,,
204,Pullman Danang Beach Resort,Da Nang,hotel,3800000,1440,$$$,00:00,23:59,,4.5,6000.0,0.6,"101 Võ Nguyên Giáp, Ngũ Hành Sơn",resort;beach;spa,All year,Khu nghỉ dưỡng 5*.,,,
205,Naman Retreat,Da Nang,hotel,5500000,1440,$$$,00:00,23:59,,4.6,5000.0,0.55,"Trường Sa, Ngũ Hành Sơn",retreat;villa;bamboo,All year,"Kiến trúc tre độc đáo, wellness.",,,
206,Melia Danang Beach Resort,Da Nang,hotel,3200000,1440,$$$,00:00,23:59,,4.4,4000.0,0.45,"19 Trường Sa, Ngũ Hành Sơn",resort;beach;family,All year,Khu nghỉ ven biển Non Nước.,,,
207,Four Points by Sheraton Danang,Da Nang,hotel,2800000,1440,$$,00:00,23:59,,4.4,4500.0,0.5,"118-120 Võ Nguyên Giáp, Sơn Trà",hotel;rooftop pool;sea view,All year,Khách sạn 5* mặt biển.,,,
208,Novotel Danang Premier Han River,Da Nang,hotel,2600000,1440,$$,00:00,23:59,,4.5,7000.0,0.6,"36 Bạch Đằng, Hải Châu",hotel;river;sky36,All year,Khách sạn cao tầng view sông.,,,
209,Vinpearl Condotel Riverfront Danang,Da Nang,hotel,2400000,1440,$$,00:00,23:59,,4.5,6500.0,0.55,"341 Trần Hưng Đạo, Sơn Trà",condotel;river;family,All year,Căn hộ khách sạn bên sông.,,,
210,Grand Mercure Danang,Da Nang,hotel,2200000,1440,$$,00:00,23:59,,4.4,5000.0,0.45,"Lot A1 Green Island, Hải Châu",hotel;island;spa,All year,Khách sạn trên đảo Xanh.,,,
211,Hilton Da Nang,Da Nang,hotel,2800000,1440,$$,00:00,23:59,,4.4,3000.0,0.35,"50 Bạch Đằng, Hải Châu",hotel;river;business,All year,Ngay trung tâm sông Hàn.,,,
212,Brilliant Hotel,Da Nang,hotel,1800000,1440,$$,00:00,23:59,,4.4,6000.0,0.5,"162 Bạch Đằng, Hải Châu",river;spa;restaurant,All year,Khách sạn tầm trung ven sông.,,,
213,A La Carte Danang Beach,Da Nang,hotel,2000000,1440,$$,00:00,23:59,,4.3,7000.0,0.55,"200 Võ Nguyên Giáp, Sơn Trà",aparthotel;rooftop pool;sea,All year,Aparthotel gần biển Mỹ Khê.,,,
214,Mandila Beach Hotel,Da Nang,hotel,1700000,1440,$$,00:00,23:59,,4.3,4000.0,0.4,"218 Võ Nguyên Giáp, Sơn Trà",hotel;sea view;rooftop,All year,"View biển, giá hợp lý.",,,
215,Sel de Mer Hotel & Suites,Da Nang,hotel,2200000,1440,$$,00:00,23:59,,4.5,3500.0,0.38,"92 Võ Nguyên Giáp, Sơn Trà",hotel;sea;spa,All year,"Khách sạn mới, hiện đại.",,,
216,TMS Hotel Da Nang Beach,Da Nang,hotel,1900000,1440,$$,00:00,23:59,,4.4,3000.0,0.35,"292 Võ Nguyên Giáp, Sơn Trà",hotel;rooftop;sea,All year,Gần biển Mỹ Khê.,,,
217,DLG Hotel Danang,Da Nang,hotel,2100000,1440,$$,00:00,23:59,,4.3,2500.0,0.3,"258 Võ Nguyên Giáp, Sơn Trà",hotel;sea;family,All year,Phù hợp gia đình.,,,
218,HAIAN Beach Hotel & Spa,Da Nang,hotel,1800000,1440,$$,00:00,23:59,,4.5,7000.0,0.55,"278 Võ Nguyên Giáp, Sơn Trà",hotel;sea;rooftop,All year,Giá/hiệu năng tốt.,,,
219,Minh Toàn Galaxy Hotel,Da Nang,hotel,1200000,1440,$,00:00,23:59,,4.2,3000.0,0.3,"306 2/9, Hải Châu",hotel;center;value,All year,Gần Asia Park & Helio.,,,
220,ibis Styles Danang,Da Nang,hotel,1200000,1440,$,00:00,23:59,,4.2,3500.0,0.32,"Lot 38B-39B Trần Hưng Đạo, Sơn Trà",budget;river;family,All year,"Giá mềm, view sông.",,,
221,Sheraton Grand Danang Resort,Da Nang,hotel,6000000,1440,$$$,00:00,23:59,,4.7,7000,0.7,"35 Trường Sa, Ngũ Hành Sơn",luxury;beach;conference,All year,Resort 5* quốc tế ven biển Non Nước.,,,
222,Crowne Plaza Danang,Da Nang,hotel,5000000,1440,$$$,00:00,23:59,,4.6,6000,0.65,"8 Trường Sa, Ngũ Hành Sơn",luxury;casino;beach,All year,"Khu nghỉ dưỡng 5*, có casino.",,,
223,Radisson Hotel Danang,Da Nang,hotel,3000000,1440,$$,00:00,23:59,,4.5,4500,0.55,"170 Võ Nguyên Giáp, Sơn Trà",hotel;sea;modern,All year,Khách sạn 5* hiện đại sát biển.,,,
224,Muong Thanh Luxury Danang,Da Nang,hotel,2500000,1440,$$,00:00,23:59,,4.3,8000,0.6,"270 Võ Nguyên Giáp, Ngũ Hành Sơn",hotel;luxury;sea,All year,Chuỗi Mường Thanh phân khúc cao cấp.,,,
225,Royal Lotus Hotel Danang,Da Nang,hotel,2200000,1440,$$,00:00,23:59,,4.2,5000,0.45,"120A Nguyễn Văn Thoại, Ngũ Hành Sơn",hotel;city;sea,All year,Khách sạn gần biển Mỹ Khê.,,,
226,Rosamia Hotel Danang,Da Nang,hotel,2300000,1440,$$,00:00,23:59,,4.4,4000,0.5,"282 Võ Nguyên Giáp, Ngũ Hành Sơn",hotel;sea view;spa,All year,"Khách sạn cao tầng, view biển.",,,
227,Golden Bay Hotel Danang,Da Nang,hotel,2700000,1440,$$,00:00,23:59,,4.4,7000,0.55,"Lê Văn Duyệt, Sơn Trà",hotel;gold pool;luxury,All year,Khách sạn có hồ bơi dát vàng.,,,
228,Hilary Hotel Danang,Da Nang,hotel,1600000,1440,$,00:00,23:59,,4.2,1500,0.25,Ngũ Hành Sơn,hotel;budget;clean,All year,"Khách sạn giá rẻ, sạch sẽ gần biển.",,,
229,DLG Hotel Beachfront,Da Nang,hotel,2100000,1440,$$,00:00,23:59,,4.3,2500,0.35,"258 Võ Nguyên Giáp, Sơn Trà",hotel;sea;family,All year,Khách sạn phù hợp gia đình.,,,
230,Rosie Hotel Danang,Da Nang,hotel,1500000,1440,$,00:00,23:59,,4.1,1200,0.2,Ngũ Hành Sơn,hotel;budget;cozy,All year,"Khách sạn nhỏ, tiện nghi cơ bản.",,,
301,Lễ hội Pháo hoa Quốc tế Đà Nẵng (DIFF),Da Nang,event,0,180,$$,,,,,4.8,30000.0,0.95,Dọc sông Hàn (khán đài Trần Hưng Đạo),festival;fireworks;summer,Summer,Sự kiện pháo hoa tầm cỡ quốc tế.,,
302,Show Cầu Rồng phun lửa & nước (cuối tuần),Da Nang,event,0,15,$,21:00,21:15,,4.7,20000.0,1.0,"Khu vực đầu Rồng, Trần Hưng Đạo",bridge show;night;free,Weekend,Thứ 7 & CN buổi tối (kiểm tra lịch).,,,
303,IRONMAN 70.3 Vietnam – Danang,Da Nang,event,2000000,360,$$$,,,,,4.7,5000.0,0.6,Công viên Biển Đông & ven biển,sport;triathlon,May,Giải 3 môn phối hợp quốc tế.,,
304,Marathon Quốc tế Đà Nẵng (DNIM),Da Nang,event,800000,240,$$,,,,,4.6,6000.0,0.55,Công viên Biển Đông & các cầu,marathon;sport,August,Cung đường qua các cây cầu.,,
305,Lễ hội Quán Thế Âm – Ngũ Hành Sơn,Da Nang,event,0,240,$,,,,,4.5,3000.0,0.4,Khu danh thắng Ngũ Hành Sơn,festival;religion;spring,March,Lễ hội truyền thống lớn của ĐN.,,
306,Lễ hội Đèn lồng & Biển – Công viên Biển Đông,Da Nang,event,0,180,$,18:00,22:00,,4.4,4000.0,0.35,Công viên Biển Đông,lantern;beach;music,Summer,"Trang trí đèn lồng, âm nhạc biển.",,,
